player_id,player_name,team_id,position,match_id,minutes_played,shots,shots_on_target,goals,xg,assists,xa,passes,passes_completed,progressive_passes,key_passes,dribbles,dribbles_completed,carries,progressive_carries,tackles,interceptions,pressures,blocks,clearances,duels_won,duels_lost,aerial_duels_won,aerial_duels_lost
34870,Nick Woltemade,176,Right Center Forward,3895302,90,1,0,0,0.082292914,0,0.0,16,13,9,0,3,1,21,1,0,0,28,1,0,0,4,0,4
12299,Marvin Ducksch,176,Left Center Forward,3895302,90,0,0,0,0.0,0,0.0,19,13,14,0,0,0,14,3,0,0,20,0,2,0,1,0,1
31100,Christian Groß,176,Center Back,3895302,90,0,0,0,0.0,0,0.0,63,61,53,0,1,1,51,11,0,2,17,4,2,0,4,0,0
51769,Julián Malatini,176,Right Center Back,3895302,90,1,0,0,0.038188405,0,0.0,59,47,45,0,0,0,49,5,0,2,11,2,1,0,4,0,2
33401,Amine Adli,904,Left Attacking Midfield,3895302,90,1,0,0,0.07415738,0,0.0,21,17,13,0,2,1,24,8,0,0,15,0,0,0,1,0,0
8576,Mitchell Weiser,176,Right Wing Back,3895302,90,1,1,0,0.3757361,0,0.0,33,26,28,0,2,2,30,3,0,0,13,0,0,0,2,0,0
30606,Edmond Fayçal Tapsoba,904,Left Center Back,3895302,90,1,0,0,0.06755266,0,0.0,87,81,72,0,0,0,70,19,0,1,15,0,2,0,3,0,0
8221,Jonathan Tah,904,Center Back,3895302,90,3,1,0,0.19236262999999998,0,0.0,74,72,56,0,0,0,64,14,0,1,10,1,3,0,0,0,0
9195,Robert Andrich,904,Left Defensive Midfield,3895302,90,0,0,0,0.0,1,0.0,88,81,58,1,1,1,72,7,0,0,16,0,1,0,0,0,0
28573,Felix Agu,176,Left Wing Back,3895302,90,0,0,0,0.0,0,0.0,34,26,27,0,0,0,27,4,0,1,11,3,1,0,5,0,0
41411,Nathan Tella,904,Right Wing Back,3895302,90,0,0,0,0.0,0,0.0,24,16,19,1,2,0,29,5,0,1,20,1,0,0,1,0,0
8667,Lukáš Hrádecký,904,Goalkeeper,3895302,90,0,0,0,0.0,0,0.0,24,21,23,0,0,0,19,1,0,0,0,0,0,0,0,0,0
27133,Odilon Kossonou,904,Right Center Back,3895302,90,0,0,0,0.0,0,0.0,77,69,60,0,0,0,67,11,0,1,11,1,1,0,3,0,0
8784,Romano Schmid,176,Left Center Midfield,3895302,90,1,0,0,0.03447609,0,0.0,52,41,45,2,3,1,49,17,0,0,27,3,2,0,5,0,1
3500,Granit Xhaka,904,Right Defensive Midfield,3895302,90,3,1,1,0.102853968,0,0.0,85,78,64,0,0,0,76,16,0,1,19,5,0,0,1,0,0
8826,Leonardo Bittencourt,176,Right Center Midfield,3895302,90,2,1,0,0.10505227,0,0.0,50,46,44,1,2,0,51,9,0,1,35,1,0,0,3,0,2
32289,Victor Okoh Boniface,904,Center Forward,3895302,90,2,2,1,1.106569,1,0.0,15,11,12,0,1,1,14,4,0,0,18,0,0,0,0,0,0
8804,Jonas Hofmann,904,Right Attacking Midfield,3895302,90,1,0,0,0.09542403,0,0.0,46,37,39,6,1,1,36,6,0,0,38,0,0,0,0,0,0
21865,Senne Lynen,176,Center Defensive Midfield,3895302,90,0,0,0,0.0,0,0.0,68,63,58,0,0,0,47,4,0,2,31,3,3,0,3,0,0
6321,Milos Veljkovic,176,Left Center Back,3895302,90,0,0,0,0.0,0,0.0,61,56,55,0,0,0,49,8,0,2,4,3,4,0,2,0,1
23198,Michael Zetterer,176,Goalkeeper,3895302,90,0,0,0,0.0,0,0.0,49,43,45,0,0,0,36,7,0,0,0,0,0,0,0,0,0
38004,Piero Martín Hincapié Reyna,904,Left Wing Back,3895302,90,1,1,0,0.14338115,0,0.0,42,38,28,1,0,0,39,8,0,0,17,2,1,0,3,0,0
40724,Florian Wirtz,904,Left Attacking Midfield,3895302,90,5,3,3,0.870759703,0,0.0,27,25,15,1,3,1,32,8,0,2,20,4,0,0,1,0,1
7044,Patrik Schick,904,Center Forward,3895302,90,1,1,0,0.109270036,0,0.0,6,4,4,0,1,0,7,0,0,0,9,0,0,0,1,0,1
32712,Jeremie Frimpong,904,Right Wing Back,3895302,90,1,1,0,0.17347074,0,0.0,8,7,6,1,2,1,13,7,0,0,4,1,0,0,2,0,1
5666,Dawid Kownacki,176,Right Center Forward,3895302,90,0,0,0,0.0,0,0.0,5,2,4,0,0,0,2,0,0,0,7,0,0,0,1,0,1
